nr_core  nr_sol  npol  
      11       4     101
raxis  zaxis  
       510.98835       23.435792
       509.26192       23.387739
       507.48530       23.250666
       505.66878       23.003956
       503.82983       22.624666
       501.98235       22.103189
       500.15140       21.421823
       498.36543       20.567798
       496.65390       19.535360
       495.04025       18.329206
       493.54777       16.957450
       492.19598       15.433114
       490.99295       13.776266
       489.94887       12.004772
       489.07023       10.137459
       488.35212       8.1953564
       487.79506       6.1953949
       487.39874       4.1532848
       487.16124       2.0839071
       487.08324    0.0011200127
       487.16257      -2.0816422
       487.39887      -4.1510756
       487.79604      -6.1929861
       488.35290      -8.1929661
       489.06783      -10.136026
       489.94783      -12.002944
       490.99274      -13.774142
       492.19521      -15.431246
       493.54621      -16.956186
       495.03707      -18.329175
       496.65145      -19.535047
       498.36462      -20.566201
       500.14908      -21.421911
       501.97837      -22.105521
       503.82665      -22.626615
       505.66876      -23.001632
       507.48562      -23.247693
       509.26045      -23.388640
       510.98653      -23.438071
       512.66045      -23.408943
       514.27900      -23.319950
       515.84428      -23.182699
       517.36103      -23.000679
       518.83335      -22.783469
       520.26683      -22.535014
       521.66763      -22.263847
       523.04209      -21.967444
       524.39668      -21.648323
       525.73773      -21.306705
       527.07234      -20.943989
       528.40623      -20.556652
       529.74738      -20.145836
       531.10259      -19.708839
       532.47976      -19.243163
       533.88736      -18.745787
       535.33171      -18.208952
       536.82173      -17.627779
       538.36717      -16.996065
       539.97957      -16.306491
       541.66817      -15.547728
       543.43750      -14.703393
       545.29764      -13.759652
       547.25161      -12.696890
       549.29289      -11.491053
       551.39632      -10.113424
       553.50780      -8.5336521
       555.51787      -6.7234019
       557.25607      -4.6714571
       558.46089      -2.4029166
       558.90463    0.0018321360
       33.046692
       565.97752    0.0017611798
       565.37831       2.8392516
       563.75544       5.4949790
       561.50249       7.8672334
       558.96467       9.9370121
       556.36553       11.730270
       553.83096       13.290037
       551.40564       14.653868
       549.10692       15.855986
       546.93456       16.924835
       544.88500       17.887131
       542.93752       18.755758
